"Class","Order","Family","Subfamily",Available,Valid,Last Ten Years (2006-2015)
 , ,Lobotidae,,9,2,0
 , ,Datnioididae,,8,5,0
 , ,Hapalogenyidae,,12,8,3
 , ,Gerreidae,,109,55,7
 , ,Haemulidae,,373,135,1
 , , ,Haemulinae,234,92,0
 , , ,Plectorhinchinae,129,43,1
 , ,Sparidae,,398,143,15
 , ,Centracanthidae,,42,9,0
 , ,Lethrinidae,,138,43,3
 , ,Nemipteridae,,165,69,4
 , ,Sciaenidae,,558,292,2
 , ,Polynemidae,,95,42,2
 , ,Mullidae,,199,88,21
 , ,Pempheridae,,57,39,10
 , ,Glaucosomatidae,,7,4,0
 , ,Leptobramidae,,3,1,0
 , ,Bathyclupeidae,,9,9,2
 , ,Toxotidae,,13,8,0
 , ,Dichistiidae,,5,2,0
 , ,Kyphosidae,,129,52,2
 , , ,Girellinae,42,19,0
 , , ,Kyphosinae,53,17,2
 , , ,Scorpidinae,18,11,0
 , , ,Microcanthinae,14,5,0
 , ,Parascorpididae,,2,1,0
 , ,Drepaneidae,,9,3,0
 , ,Monodactylidae,,15,6,0
 , ,Chaetodontidae,,305,132,1
 , ,Pomacanthidae,,178,88,3
 , ,Enoplosidae,,5,1,0
 , ,Pentacerotidae,,20,13,0
 , , ,Histiopterinae,10,7,0
 , , ,Pentacerotinae,10,6,0
 , ,Polycentridae,,9,5,1
 , ,Nandidae,,10,6,4
 , ,Badidae,,33,29,13
